vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,battery_risk
V054,Hybrid,north,2024-10-28 22:21:00,76.7,90558,Scheduled,v2.2,Healthy
V055,Hybrid,east,2025-06-05 13:40:00,83.3,85635,Active,v2.1,Healthy
V056,EV,central,2024-06-09 16:18:00,78.4,29849,Active,v2.2,Healthy
V057,EV,riverside,2025-06-07 06:32:00,76.0,160770,InRepair,v2.0,Healthy
V058,Hybrid,central,2024-07-11 13:11:00,74.1,15138,Active,v2.0,Healthy
V059,Hybrid,airport,2024-03-02 20:36:00,85.2,188332,InRepair,v2.1,Healthy
V060,CargoVan,central,2025-09-09 03:22:00,80.2,65113,InRepair,v2.0,Healthy
V061,Diesel,south,2025-08-06 20:40:00,60.3,126438,Active,v2.2,Warning
V062,Hybrid,north,2024-02-13 22:26:00,89.9,113343,Active,v2.0,Healthy
V063,EV,central,2024-01-11 00:19:00,73.6,159860,Active,v2.1,Healthy
V064,CargoVan,west,2025-12-28 22:35:00,67.3,219116,InRepair,v2.2,Warning
V065,EV,west,2024-01-05 09:25:00,84.3,217057,Active,v2.1,Healthy
V066,Hybrid,north,2024-04-10 18:00:00,77.7,98535,Scheduled,v2.2,Healthy
V067,Hybrid,central,2025-11-15 00:12:00,57.3,176145,Active,v2.0,Warning
V068,Hybrid,riverside,2024-06-28 15:49:00,97.5,73769,InRepair,v2.0,Healthy
V069,Hybrid,central,2025-07-20 18:17:00,71.4,187158,Active,v2.1,Healthy
V070,CargoVan,north,2025-10-24 17:32:00,62.6,39859,InRepair,v2.0,Warning
V071,EV,west,2024-05-27 18:12:00,73.8,195310,Scheduled,v1.9,Healthy
V072,CargoVan,airport,2025-02-24 19:07:00,78.1,89109,InRepair,v2.1,Healthy
V073,Hybrid,airport,2024-05-28 05:33:00,,191353,Active,v2.1,Unknown
V074,CargoVan,east,2025-06-05 03:01:00,62.4,18034,Active,v2.1,Warning
V075,Diesel,west,2024-04-12 02:10:00,85.5,32441,InRepair,v2.1,Healthy
V076,Diesel,central,2025-06-19 15:52:00,65.8,106063,InRepair,v1.9,Warning
V077,EV,south,2025-04-23 19:27:00,67.6,116877,Scheduled,v2.1,Warning
V078,CargoVan,north,2024-03-04 20:00:00,78.4,153638,Active,v2.1,Healthy
V079,EV,airport,2025-12-01 18:20:00,100.0,117995,Active,v2.2,Healthy
V080,EV,east,2024-05-27 22:15:00,100.0,68844,Active,v1.9,Healthy
V081,EV,west,2024-12-28 08:10:00,86.6,165481,Active,v2.2,Healthy
V082,EV,central,2024-02-03 08:40:00,81.2,81518,Active,v2.1,Healthy
V083,CargoVan,north,2024-04-11 18:04:00,79.3,42073,Active,v2.2,Healthy
V084,CargoVan,riverside,2024-12-23 06:28:00,47.6,53872,InRepair,v2.1,Critical
V085,CargoVan,south,2025-09-30 12:01:00,87.3,145652,Active,v2.1,Healthy
V086,EV,central,2024-02-25 07:56:00,82.8,42307,Scheduled,v2.2,Healthy
V087,Hybrid,airport,2025-02-09 18:48:00,49.7,116811,Active,v2.1,Critical
V088,Diesel,north,2024-02-14 14:03:00,80.3,50427,InRepair,v2.1,Healthy
V089,CargoVan,central,2025-09-27 07:15:00,93.6,136082,InRepair,v1.9,Healthy
V090,Hybrid,west,2024-08-16 01:10:00,93.8,98472,InRepair,v2.0,Healthy
V091,Hybrid,east,2025-08-24 05:20:00,58.5,172956,Active,v1.9,Warning
V092,Hybrid,east,2024-01-07 14:19:00,80.5,36143,InRepair,v2.1,Healthy
V093,CargoVan,central,2025-03-04 19:16:00,69.2,119136,Scheduled,v2.0,Warning
V094,CargoVan,central,2025-05-22 02:15:00,65.9,159262,Scheduled,v1.9,Warning
V095,CargoVan,riverside,2025-11-24 12:43:00,79.0,104553,InRepair,v2.0,Healthy
V096,CargoVan,east,2025-08-21 07:26:00,85.1,193315,InRepair,v2.0,Healthy
V097,EV,central,2024-11-12 12:56:00,92.1,18680,Active,v2.1,Healthy
V098,Diesel,west,2025-12-29 15:01:00,69.7,73011,Active,v2.1,Warning
V099,Hybrid,south,2024-09-06 02:11:00,65.8,92896,Active,v2.0,Warning
V100,CargoVan,east,2024-06-23 11:24:00,60.1,31876,Active,v2.0,Warning
V101,Hybrid,north,2024-07-10 00:56:00,84.8,106932,InRepair,v2.1,Healthy
V102,EV,west,2024-10-24 12:35:00,77.0,198326,Active,v2.0,Healthy
V103,Hybrid,north,2025-01-06 03:21:00,100.0,181609,InRepair,v2.1,Healthy
V104,EV,east,2025-06-30 12:21:00,73.9,91441,Active,v2.1,Healthy
V105,EV,central,2025-02-16 20:04:00,,149291,Active,v2.1,Unknown
V106,CargoVan,north,2024-05-06 13:52:00,74.9,93084,Active,v2.1,Healthy
V107,CargoVan,north,2024-12-25 17:15:00,87.9,96239,Active,v2.0,Healthy
V108,Diesel,airport,2025-01-31 06:29:00,54.6,141290,InRepair,v1.9,Warning
V109,Hybrid,airport,2024-10-17 11:15:00,60.6,193552,InRepair,v2.1,Warning
V110,EV,east,2025-03-22 01:17:00,85.1,63717,Active,v2.1,Healthy
V111,EV,west,2025-11-11 00:21:00,66.3,208147,Active,v2.1,Warning
V112,EV,south,2024-06-08 07:45:00,94.1,19121,InRepair,v2.1,Healthy
V113,Hybrid,central,2024-05-12 02:12:00,58.9,52725,InRepair,v1.9,Warning
V114,Hybrid,north,2024-10-03 17:53:00,90.0,84649,Active,v2.2,Healthy
V115,Diesel,south,2024-05-10 17:28:00,57.9,85919,Active,v2.2,Warning
V116,Diesel,east,2025-04-23 07:10:00,62.7,71822,Active,v2.1,Warning
V117,Hybrid,south,2025-01-11 11:13:00,65.5,163683,Scheduled,v2.2,Warning
V118,Diesel,riverside,2025-02-18 12:40:00,78.0,145165,Active,v2.1,Healthy
V119,EV,riverside,2025-08-17 06:19:00,67.6,215407,InRepair,v2.1,Warning
V120,EV,central,2025-05-02 16:13:00,73.6,192246,Active,v2.0,Healthy
